      2210.1154,	        -63.8269,	       -701.6232 ; 		 //plane 8 point @56 
     -7384.0852,	      39282.9725,	       3711.3977 ; 		 //plane 8 point @57 
      2659.5298,	      -4582.5849,	      -1454.7460 ; 		 //plane 9 point @58 
      1982.7715,	        -82.2596,	      -1446.3147 ; 		 //plane 9 point @59 
      2309.5443,	        -55.7654,	       -375.9322 ; 		 //plane 9 point @60 
      2897.9500,	      -4583.1423,	       -683.4882 ; 		 //plane 9 point @61 
      2659.5298,	      -4582.5849,	      -1454.7460 ; 		 //plane 9 point @62 
       117.9891,	       8516.1973,	        260.6870 ; 		 //plane 10 point @63 
      2260.0327,	       -268.5428,	       -724.5836 ; 		 //plane 10 point @64 
      3344.4969,	        179.1833,	       4254.5609 ; 		 //plane 10 point @65 
      1140.5359,	       8492.2853,	       4456.3705 ; 		 //plane 10 point @66 
       117.9891,	       8516.1973,	        260.6870 ; 		 //plane 10 point @67 
      2897.9500,	      -4583.1423,	       -683.4882 ; 		 //plane 11  NOT REORDER point @68 
      2333.2686,	       -238.3070,	       -388.3327 ; 		 //plane 11  NOT REORDER point @69 
      3405.9053,	        204.5360,	       4536.5079 ; 		 //plane 11  NOT REORDER point @70 
      3505.2820,	       -914.3905,	       4261.0759 ; 		 //plane 11  NOT REORDER point @71 
      3831.3134,	      -4585.3244,	       3357.4483 ; 		 //plane 11  NOT REORDER point @72 
      3481.2037,	      -4584.5059,	       1841.6708 ; 		 //plane 11  NOT REORDER point @73 
      1140.5359,	       8492.2853,	       4456.3705 ; 		 //plane 12 point @74 
      3509.4067,	       -442.8388,	       4239.4606 ; 		 //plane 12 point @75 
      3128.1133,	       -385.5502,	       5379.5240 ; 		 //plane 12 point @76 
       828.7324,	       8489.9026,	       5428.0594 ; 		 //plane 12 point @77 
      1140.5359,	       8492.2853,	       4456.3705 ; 		 //plane 12 point @78 
      3831.3134,	      -4585.3244,	       3357.4483 ; 		 //plane 13  NOT REORDER point @79 
      3505.2820,	       -914.3905,	       4261.0759 ; 		 //plane 13  NOT REORDER point @80 
      3128.1133,	       -385.5502,	       5379.5240 ; 		 //plane 13  NOT REORDER point @81 
      3462.7793,	       -435.8331,	       4378.8763 ; 		 //plane 13  NOT REORDER point @82 
      3158.7707,	      -4583.7521,	       5370.2995 ; 		 //plane 13  NOT REORDER point @83 
      3487.0144,	      -4584.5195,	       4387.9000 ; 		 //plane 13  NOT REORDER point @84 
      1927.7999,	       3134.8279,	       5402.5209 ; 		 //plane 14 point @85 
      1875.8142,	      -4580.7527,	       5386.9755 ; 		 //plane 14 point @86 
      1866.5541,	      -4580.7310,	       6867.7966 ; 		 //plane 14 point @87 
      1918.5523,	       3137.0850,	       6883.7524 ; 		 //plane 14 point @88 
      1927.7999,	       3134.8279,	       5402.5209 ; 		 //plane 14 point @89 
      3505.2820,	       -914.3905,	       4261.0759 ; 		 //plane 15 point @90 
      3481.2037,	      -4584.5059,	       1841.6708 ; 		 //plane 15 point @91 
      3487.0144,	      -4584.5195,	       4387.9000 ; 		 //plane 15 point @92 
      3505.2820,	       -914.3905,	       4261.0759 ; 		 //plane 15 point @93 
