Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
85              ,  356 14 07 ,   42 30 55,      2.938,      0.000,      0.000,       -0.130,        1.981,      2.165
86              ,  356 13 50 ,   32 57 08,      3.619,      0.000,      0.000,       -0.129,        1.964,      3.036
87              ,  357 59 43 ,   26 59 26,      4.295,      0.000,      0.000,       -0.068,        1.948,      3.827
88              ,  357 59 44 ,   21 25 31,      5.271,      0.000,      0.000,       -0.067,        1.924,      4.906
89              ,  357 59 42 ,   16 35 12,      6.650,      0.000,      0.000,       -0.066,        1.897,      6.373
90              ,  349 12 49 ,   19 40 59,      5.777,      0.000,      0.000,       -0.364,        1.911,      5.439
91              ,  348 18 33 ,   25 02 15,      4.668,      0.000,      0.000,       -0.400,        1.935,      4.230
92              ,  346 42 37 ,   33 23 11,      3.660,      0.000,      0.000,       -0.463,        1.960,      3.056
93              ,  345 02 47 ,   43 23 17,      2.978,      0.000,      0.000,       -0.528,        1.977,      2.164
94              ,  345 02 47 ,   57 48 20,      2.436,      0.000,      0.000,       -0.532,        1.992,      1.298
95              ,  344 26 39 ,   77 12 34,      2.139,      0.000,      0.000,       -0.560,        2.010,      0.474
96              ,  344 26 38 ,  100 54 22,      2.146,      0.000,      0.000,       -0.565,        2.030,     -0.406
97              ,  343 54 59 ,  116 35 08,      2.378,      0.000,      0.000,       -0.589,        2.043,     -1.064
98              ,  311 46 39 ,  113 05 16,      3.315,      0.000,      0.000,       -2.274,        2.032,     -1.300
99              ,  311 56 24 ,   95 59 06,      3.024,      0.000,      0.000,       -2.237,        2.010,     -0.315
100             ,   60 52 50 ,  114 36 39,      3.004,      0.000,      0.000,        2.386,        1.329,     -1.251
101             ,   59 54 57 ,  108 46 24,      3.196,      0.000,      0.000,        2.618,        1.517,     -1.029
102             ,   60 08 10 ,  102 49 51,      3.403,      0.000,      0.000,        2.877,        1.652,     -0.756
103             ,   67 57 51 ,  101 58 30,      3.136,      0.000,      0.000,        2.843,        1.151,     -0.651
104             ,   67 57 51 ,  111 03 34,      2.886,      0.000,      0.000,        2.496,        1.010,     -1.037
105             ,   67 57 50 ,  119 25 09,      2.729,      0.000,      0.000,        2.204,        0.892,     -1.341
106             ,   75 03 19 ,  124 48 45,      2.551,      0.000,      0.000,        2.024,        0.540,     -1.456
107             ,   76 45 35 ,  116 21 15,      2.612,      0.000,      0.000,        2.278,        0.536,     -1.159
108             ,   78 06 01 ,  107 06 41,      2.756,      0.000,      0.000,        2.577,        0.543,     -0.811
