Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
125             ,  192 21 35 ,  114 18 12,      1.539,      0.000,      0.000,       -0.300,       -1.370,     -0.633
126             ,  192 21 37 ,  129 01 44,      1.804,      0.000,      0.000,       -0.300,       -1.369,     -1.136
127             ,  219 19 51 ,  124 58 13,      2.179,      0.000,      0.000,       -1.131,       -1.381,     -1.249
128             ,  219 19 46 ,  107 20 22,      1.864,      0.000,      0.000,       -1.128,       -1.376,     -0.555
129             ,  219 19 42 ,   84 53 55,      1.781,      0.000,      0.000,       -1.124,       -1.372,      0.158
130             ,  216 47 24 ,   68 51 55,      1.834,      0.000,      0.000,       -1.025,       -1.370,      0.661
131             ,  216 47 30 ,   56 25 39,      2.053,      0.000,      0.000,       -1.025,       -1.370,      1.135
132             ,  216 47 28 ,   44 31 27,      2.435,      0.000,      0.000,       -1.023,       -1.368,      1.736
133             ,  225 17 22 ,   46 14 04,      2.403,      0.000,      0.000,       -1.233,       -1.221,      1.662
134             ,  225 17 23 ,   58 18 34,      2.039,      0.000,      0.000,       -1.233,       -1.221,      1.071
135             ,  225 17 19 ,   69 52 22,      1.850,      0.000,      0.000,       -1.234,       -1.222,      0.637
136             ,  225 17 19 ,   89 51 03,      1.735,      0.000,      0.000,       -1.233,       -1.221,      0.005
137             ,  225 17 16 ,  108 25 03,      1.821,      0.000,      0.000,       -1.228,       -1.216,     -0.575
138             ,  225 17 36 ,  125 59 05,      2.136,      0.000,      0.000,       -1.228,       -1.216,     -1.255
139             ,  256 34 36 ,  134 13 21,      1.768,      0.000,      0.000,       -1.232,       -0.294,     -1.233
140             ,  256 34 39 ,  109 46 18,      1.345,      0.000,      0.000,       -1.231,       -0.294,     -0.455
141             ,  256 34 42 ,   86 40 45,      1.272,      0.000,      0.000,       -1.235,       -0.295,      0.074
142             ,  256 34 45 ,   46 06 31,      1.760,      0.000,      0.000,       -1.234,       -0.294,      1.220
143             ,  256 34 47 ,   36 54 33,      2.110,      0.000,      0.000,       -1.232,       -0.294,      1.687
