  -3107.6136000000,	   -4569.1019000000,	    6865.9440000000 ; 		 //plane 6 point @48 
  -1102.0039000000,	    8530.4859000000,	   -1431.5483000000 ; 		 //plane 7 point @50 
   1982.5727500000,	     -81.5286500000,	   -1446.3619750000 ; 		 //plane 7 point @51 
     14.9425000000,	    8518.3675000000,	    -106.4025000000 ; 		 //plane 7 point @52 
  -1102.0039000000,	    8530.4859000000,	   -1431.5483000000 ; 		 //plane 7 point @53 
     14.9425000000,	    8518.3675000000,	    -106.4025000000 ; 		 //plane 8 point @54 
   1982.5727500000,	     -81.5286500000,	   -1446.3619750000 ; 		 //plane 8 point @55 
   2278.2341000000,	    -156.6105500000,	    -547.5958500000 ; 		 //plane 8 point @56 
     14.9425000000,	    8518.3675000000,	    -106.4025000000 ; 		 //plane 8 point @57 
   2659.5298000000,	   -4582.5850000000,	   -1454.7212000000 ; 		 //plane 9 point @58 
   1982.5727500000,	     -81.5286500000,	   -1446.3619750000 ; 		 //plane 9 point @59 
   2278.2341000000,	    -156.6105500000,	    -547.5958500000 ; 		 //plane 9 point @60 
   2897.9448000000,	   -4583.1424000000,	    -683.4618000000 ; 		 //plane 9 point @61 
   2659.5298000000,	   -4582.5850000000,	   -1454.7212000000 ; 		 //plane 9 point @62 
     14.9425000000,	    8518.3675000000,	    -106.4025000000 ; 		 //plane 10 point @63 
   2278.2341000000,	    -156.6105500000,	    -547.5958500000 ; 		 //plane 10 point @64 
   3430.6072750000,	    -123.7381500000,	    4352.3813750000 ; 		 //plane 10 point @65 
   1140.4955000000,	    8492.2854000000,	    4456.3846000000 ; 		 //plane 10 point @66 
     14.9425000000,	    8518.3675000000,	    -106.4025000000 ; 		 //plane 10 point @67 
   2897.9448000000,	   -4583.1424000000,	    -683.4618000000 ; 		 //plane 11 point @68 
   2278.2341000000,	    -156.6105500000,	    -547.5958500000 ; 		 //plane 11 point @69 
   3430.6072750000,	    -123.7381500000,	    4352.3813750000 ; 		 //plane 11 point @70 
   3505.2428000000,	    -914.3904000000,	    4261.1064000000 ; 		 //plane 11 point @71 
   3481.1811000000,	   -4584.5059000000,	    1841.7012000000 ; 		 //plane 11 point @73 
   1140.4955000000,	    8492.2854000000,	    4456.3846000000 ; 		 //plane 12 point @74 
   3430.6072750000,	    -123.7381500000,	    4352.3813750000 ; 		 //plane 12 point @75 
   3128.0665000000,	    -385.5502000000,	    5379.5519000000 ; 		 //plane 12 point @76 
    828.6853000000,	    8489.9027000000,	    5428.0714000000 ; 		 //plane 12 point @77 
   1140.4955000000,	    8492.2854000000,	    4456.3846000000 ; 		 //plane 12 point @78 
   3659.1273000000,	   -4584.9219500000,	    3872.7058000000 ; 		 //plane 13 point @79 
   3505.2428000000,	    -914.3904000000,	    4261.1064000000 ; 		 //plane 13 point @80 
   3430.6072750000,	    -123.7381500000,	    4352.3813750000 ; 		 //plane 13 point @81 
   3128.0665000000,	    -385.5502000000,	    5379.5519000000 ; 		 //plane 13 point @82 
   3158.7239000000,	   -4583.7521000000,	    5370.3277000000 ; 		 //plane 13 point @83 
