   2492.7862000000,	   -5228.4259000000,	    4352.2369000000 ; 		 //plane 9 point @58 
   2128.3831000000,	   -5226.7145000000,	    5398.0651000000 ; 		 //plane 9 point @59 
   2216.6593000000,	    8749.8843000000,	    5358.1613000000 ; 		 //plane 9 point @60 
   2581.5564000000,	    8742.8694000000,	    4310.8343000000 ; 		 //plane 9 point @61 
   2216.6593000000,	    8749.8843000000,	    5358.1613000000 ; 		 //plane 10 point @62 
   2128.3831000000,	   -5226.7145000000,	    5398.0651000000 ; 		 //plane 10 point @63 
    828.1935000000,	   -5220.6084000000,	    5415.8853000000 ; 		 //plane 10 point @64 
    948.9385000000,	    8761.0790000000,	    5375.5220000000 ; 		 //plane 10 point @65 
   2216.6593000000,	    8749.8843000000,	    5358.1613000000 ; 		 //plane 10 point @66 
    948.9385000000,	    8761.0790000000,	    5375.5220000000 ; 		 //plane 11 point @67 
    828.1935000000,	   -5220.6084000000,	    5415.8853000000 ; 		 //plane 11 point @68 
    823.4046000000,	   -5220.5859000000,	    6891.3250000000 ; 		 //plane 11 point @69 
    944.1910000000,	    8766.4951000000,	    6852.5430000000 ; 		 //plane 11 point @70 
    948.9385000000,	    8761.0790000000,	    5375.5220000000 ; 		 //plane 11 point @71 
