   2127.1102000000,	     451.0351000000,	    5933.4855000000 ; 		 //plane 11 point @70 
   1764.3788000000,	   -1102.0930000000,	    5771.5406000000 ; 		 //plane 11 point @71 
    957.2389000000,	   -4558.0701000000,	    5411.1853000000 ; 		 //plane 11 point @72 
    173.1386000000,	   -4561.0262000000,	    4103.3650000000 ; 		 //plane 11 point @73 
   3588.6874000000,	    8548.7582000000,	    4181.1829000000 ; 		 //plane 12 point @74 
   1868.7741000000,	    -155.3298000000,	    5810.1642000000 ; 		 //plane 12 point @75 
   2853.1829000000,	    -231.2874000000,	    6318.2185000000 ; 		 //plane 12 point @76 
   4586.0817000000,	    8547.1331000000,	    4674.4846000000 ; 		 //plane 12 point @77 
   3588.6874000000,	    8548.7582000000,	    4181.1829000000 ; 		 //plane 12 point @78 
    957.2389000000,	   -4558.0701000000,	    5411.1853000000 ; 		 //plane 13 point @79 
   1764.3788000000,	   -1102.0930000000,	    5771.5406000000 ; 		 //plane 13 point @80 
   2853.1829000000,	    -231.2874000000,	    6318.2185000000 ; 		 //plane 13 SWAP 81,82 point @82 
   1983.4282000000,	    -164.1765000000,	    5869.3373000000 ; 		 //plane 13 point @81 
   2811.2929000000,	   -4551.0803000000,	    6365.6671000000 ; 		 //plane 13 point @83 
   1899.1198000000,	   -4554.5192000000,	    5896.0731000000 ; 		 //plane 13 point @84 
   3707.8089000000,	    3175.9069000000,	    5509.2983000000 ; 		 //plane 14 point @85 
   3755.8991000000,	   -4547.5191000000,	    5478.6446000000 ; 		 //plane 14 point @86 
   4780.3948000000,	   -4543.6567000000,	    6560.5751000000 ; 		 //plane 14 point @87 
   4730.5563000000,	    3171.2079000000,	    6589.2922000000 ; 		 //plane 14 point @88 
   3707.8089000000,	    3175.9069000000,	    5509.2983000000 ; 		 //plane 14 point @89 
   1764.3788000000,	   -1102.0930000000,	    5771.5406000000 ; 		 //plane 15 point @90 
    173.1386000000,	   -4561.0262000000,	    4103.3650000000 ; 		 //plane 15 point @91 
   1899.1198000000,	   -4554.5192000000,	    5896.0731000000 ; 		 //plane 15 point @92 
   1764.3788000000,	   -1102.0930000000,	    5771.5406000000 ; 		 //plane 15 point @93 
